Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","AGE10P - Age in Ten Year Groups","Count",
"Persons Place of Usual Residence","0-9 years",2967424
"Persons Place of Usual Residence","10-19 years",2818783
"Persons Place of Usual Residence","20-29 years",3231395
"Persons Place of Usual Residence","30-39 years",3265528
"Persons Place of Usual Residence","40-49 years",3164712
"Persons Place of Usual Residence","50-59 years",2977884
"Persons Place of Usual Residence","60-69 years",2488397
"Persons Place of Usual Residence","70-79 years",1540372
"Persons Place of Usual Residence","80-89 years",769511
"Persons Place of Usual Residence","90-99 years",174314
"Persons Place of Usual Residence","100 years and over",3565
"Persons Place of Usual Residence","Total",23401891

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
